entropy,avg_displacement
9.714337348937988281e+00,0.000000000000000000e+00
9.620119094848632812e+00,1.990619269900616883e+00
9.663551330566406250e+00,2.783443796664306191e+00
9.720871925354003906e+00,2.585136426797909781e+00
9.778038024902343750e+00,2.386815639576614689e+00
9.827810287475585938e+00,2.782588807617362381e+00
9.866168975830078125e+00,2.188732797291895960e+00
9.899402618408203125e+00,1.991206655062103037e+00
9.923102378845214844e+00,2.387242832031861273e+00
9.941118240356445312e+00,2.981409198770366142e+00
9.953903198242187500e+00,2.188725982241176204e+00
9.963651657104492188e+00,2.188034161583716219e+00
9.970003128051757812e+00,2.189554703425318660e+00
9.973669052124023438e+00,1.990141616818283943e+00
9.975842475891113281e+00,2.585419619460713747e+00
9.976179122924804688e+00,2.585007974923625440e+00
9.975572586059570312e+00,2.783468829620206364e+00
9.975011825561523438e+00,1.990233238881532918e+00
9.974046707153320312e+00,2.386971672108654463e+00
9.972586631774902344e+00,2.585214104408791513e+00
9.970870971679687500e+00,2.980445695317068378e+00
9.969617843627929688e+00,1.990255729227106141e+00
9.968014717102050781e+00,2.188661168389692602e+00
9.966687202453613281e+00,2.584337713579835771e+00
9.964265823364257812e+00,1.990206880253770905e+00
9.961574554443359375e+00,1.792183156895864604e+00
9.959115982055664062e+00,2.980395359830233737e+00
9.956773757934570312e+00,1.990214846014973116e+00
9.954360961914062500e+00,2.782394604346721145e+00
9.950992584228515625e+00,2.386335313240641742e+00
9.947586059570312500e+00,1.990184834033419614e+00
9.943656921386718750e+00,3.376383501694987022e+00
9.939215660095214844e+00,2.386356952927899400e+00
9.935020446777343750e+00,2.386410036813480406e+00
9.930541992187500000e+00,1.990135804880219128e+00
9.926310539245605469e+00,1.990141569980352632e+00
9.921709060668945312e+00,2.980157059588842472e+00
9.917020797729492188e+00,2.584221238234616358e+00
9.912963867187500000e+00,1.990146077819707537e+00
9.909305572509765625e+00,1.990068653007476707e+00
9.905426979064941406e+00,1.990182562014790602e+00
9.901647567749023438e+00,3.178337516826199138e+00
9.897392272949218750e+00,1.396022137615039460e+00
9.893358230590820312e+00,2.584306585743354034e+00
9.889070510864257812e+00,2.782416034835080598e+00
9.884573936462402344e+00,1.792099115057011582e+00
9.880227088928222656e+00,2.188075185447285520e+00
9.875789642333984375e+00,2.584275818646782241e+00
9.871678352355957031e+00,2.782531299219708210e+00
9.867480278015136719e+00,1.594057193235981718e+00
9.862844467163085938e+00,2.783061858535930799e+00
9.858323097229003906e+00,3.377310380717412741e+00
9.853485107421875000e+00,2.386253973003569673e+00
9.848645210266113281e+00,1.990046470746977381e+00
9.843912124633789062e+00,2.188263930691922710e+00
9.838621139526367188e+00,2.584177074084291981e+00
9.833789825439453125e+00,2.386256540022788641e+00
9.828457832336425781e+00,1.792088511529955408e+00
9.823114395141601562e+00,3.178285739532162424e+00
9.817128181457519531e+00,2.980311885007983719e+00
9.811586380004882812e+00,3.179058103350549391e+00
9.805511474609375000e+00,1.594110251976999404e+00
9.799605369567871094e+00,2.386516708811661225e+00
9.793266296386718750e+00,2.782333549512506998e+00
9.786830902099609375e+00,3.178596709953955823e+00
9.780635833740234375e+00,1.594056425137922783e+00
9.774039268493652344e+00,3.178705430558598888e+00
9.767562866210937500e+00,2.386129918211320700e+00
9.761312484741210938e+00,2.584983633470758768e+00
9.754812240600585938e+00,2.188090804445769422e+00
9.748507499694824219e+00,3.178968609390800282e+00
9.742485046386718750e+00,2.386217147032426045e+00
9.736185073852539062e+00,2.584200617537403488e+00
9.730266571044921875e+00,2.782113863047523505e+00
9.725041389465332031e+00,1.396053520306288931e+00
9.719639778137207031e+00,2.188344492475075675e+00
9.714407920837402344e+00,2.188175524641284397e+00
9.709380149841308594e+00,2.188152551540947677e+00
9.704415321350097656e+00,1.792174450517109108e+00
9.699409484863281250e+00,2.980503471401739990e+00
9.694374084472656250e+00,2.386106207615545038e+00
9.689530372619628906e+00,1.594055823346727685e+00
9.684905052185058594e+00,2.584489183234327303e+00
9.680430412292480469e+00,2.188273099573324387e+00
9.676050186157226562e+00,1.594042191728149538e+00
9.671510696411132812e+00,3.178583359193921876e+00
9.666749000549316406e+00,2.584191056615743776e+00
9.662062644958496094e+00,2.782495161979848586e+00
9.657533645629882812e+00,2.188097325001640669e+00
9.653247833251953125e+00,1.792184862908686283e+00
9.648837089538574219e+00,1.792237255349331537e+00
9.644565582275390625e+00,3.178306407461314098e+00
9.640445709228515625e+00,2.188100258751819016e+00
9.636191368103027344e+00,2.584339025427309089e+00
9.632375717163085938e+00,2.386301595059637126e+00
9.628929138183593750e+00,2.188246548030887695e+00
9.625519752502441406e+00,1.990167335813503469e+00
9.622228622436523438e+00,1.990144948946557246e+00
9.619279861450195312e+00,2.584101860856539368e+00
9.616439819335937500e+00,1.792120592417379976e+00
9.613692283630371094e+00,2.188276942849468387e+00
9.610887527465820312e+00,1.990166581810573376e+00
9.608167648315429688e+00,2.980409538566169747e+00
9.605243682861328125e+00,2.386237754808923750e+00
9.602480888366699219e+00,2.782367686064124879e+00
9.599618911743164062e+00,1.594170484647354336e+00
9.597132682800292969e+00,1.990293210159515214e+00
9.595245361328125000e+00,2.386249906961437350e+00
9.593505859375000000e+00,2.980242691732750693e+00
9.591584205627441406e+00,2.386086423342422158e+00
9.589429855346679688e+00,2.782570078072620134e+00
9.586964607238769531e+00,2.386415596179469301e+00
9.584625244140625000e+00,1.792113090154568766e+00
9.582539558410644531e+00,2.980276592898466248e+00
9.579780578613281250e+00,2.980495288711234814e+00
9.576858520507812500e+00,2.386332824356725890e+00
9.573686599731445312e+00,1.990126371349135281e+00
9.570581436157226562e+00,1.792061716709489216e+00
9.567304611206054688e+00,1.396003538528958421e+00
9.564062118530273438e+00,2.188064237204560225e+00
9.560669898986816406e+00,3.178362571275732851e+00
9.557529449462890625e+00,1.990113418117252397e+00
9.553750991821289062e+00,2.782338749383992837e+00
9.549673080444335938e+00,2.188094251926943734e+00
9.545379638671875000e+00,2.188106802217071323e+00
9.541296958923339844e+00,2.188099783463179016e+00
9.537330627441406250e+00,1.990097825385934938e+00
9.533667564392089844e+00,1.594078940661797228e+00
